"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"P2,P1";"Pin_Headers:Pin_Header_Straight_2x10";2;"CONN_02X10";;;
2;"C1,C4,C5,C6";"Capacitors_SMD:c_0603";4;"100nF";;;
3;"C2,C3";"Capacitors_SMD:c_0603";2;"C";;;
4;"IC1";"SMD_Packages:TQFP-44";1;"ATMEGA8535-A";;;
5;"R1";"Resistors_SMD:R_0603";1;"10k";;;
6;"C7";"Capacitors_SMD:c_0603";1;"0,1uF";;;
7;"C8";"Capacitors_SMD:c_1206";1;"10uF";;;
8;"R2";"Resistors_SMD:R_0603";1;"680";;;
9;"R3";"Resistors_SMD:R_0603";1;"240";;;
10;"R4";"Resistors_SMD:R_0603";1;"0R";;;
11;"U1";"SMD_Packages:SOT-223";1;"LM317AEMP";;;
12;"L1";"Resistors_SMD:R_0603";1;"10uH";;;
13;"P3";"Pin_Headers:Pin_Header_Straight_2x03";1;"CONN_02X03";;;
14;"SW1";"Discret:SW_PUSH_SMALL";1;"SW_PUSH";;;
15;"X1";"Crystals:Crystal_HC49-SD_SMD";1;"CRYSTAL";;;
16;"D1";"LEDs:LED-0805";1;"LED";;;
17;"R5";"Resistors_SMD:R_0603";1;"220R";;;
